no,fetch,update,vm_id,vm_name,cpu_usage,max_cpu,mem_usage,max_mem,cum_netin,cum_netout,rate_netin,rate_netout,bw_usage,max_bw,score,priority,unix_timestamp,timestamp
1,1,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226975,2025-05-26 09:36:15
2,1,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226975,2025-05-26 09:36:15
3,1,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226975,2025-05-26 09:36:15
4,1,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226975,2025-05-26 09:36:15
5,2,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226976,2025-05-26 09:36:16
6,2,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226976,2025-05-26 09:36:16
7,2,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226976,2025-05-26 09:36:16
8,2,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226976,2025-05-26 09:36:16
9,3,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226977,2025-05-26 09:36:17
10,3,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226977,2025-05-26 09:36:17
11,3,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226977,2025-05-26 09:36:17
12,3,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226977,2025-05-26 09:36:17
13,4,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226978,2025-05-26 09:36:18
14,4,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226978,2025-05-26 09:36:18
15,4,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226978,2025-05-26 09:36:18
16,4,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226978,2025-05-26 09:36:18
17,5,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226979,2025-05-26 09:36:19
18,5,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226979,2025-05-26 09:36:19
19,5,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226979,2025-05-26 09:36:19
20,5,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226979,2025-05-26 09:36:19
21,6,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226980,2025-05-26 09:36:20
22,6,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226980,2025-05-26 09:36:20
23,6,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226980,2025-05-26 09:36:20
24,6,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226980,2025-05-26 09:36:20
25,7,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226981,2025-05-26 09:36:21
26,7,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226981,2025-05-26 09:36:21
27,7,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226981,2025-05-26 09:36:21
28,7,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226981,2025-05-26 09:36:21
29,8,1,203,laos-3,0.0471215470382166,1,0.8659324645996094,1073741824,34221639,2561283561,0,0,0,12500000,0.913054011637826,3,1748226982,2025-05-26 09:36:22
30,8,1,204,laos-4,0.0442365543624075,1,0.8678436279296875,1073741824,35633262,2551825002,0,0,0,12500000,0.912080182292095,2,1748226982,2025-05-26 09:36:22
31,8,1,201,laos-1,0.0432748901371377,1,0.8323898315429688,1073741824,35342017,2577312037,0,0,0,12500000,0.8756647216801065,1,1748226982,2025-05-26 09:36:22
32,8,1,202,laos-2,0.0432748901371377,1,0.8726463317871094,1073741824,35759683,2579255187,0,0,0,12500000,0.9159212219242471,4,1748226982,2025-05-26 09:36:22
33,9,2,201,laos-1,0.0430575845252511,1,0.8326301574707031,1073741824,35344409,2577510706,2380.7862586431647,197737.63596086073,0.01600947377756031,12500000,0.8916972157735146,3,1748226983,2025-05-26 09:36:23
34,9,2,202,laos-2,0.0472583244789342,1,0.8726463317871094,1073741824,35762303,2579472812,2607.7173903198545,216604.7698734192,0.017536998981099124,12500000,0.9374416552471427,4,1748226983,2025-05-26 09:36:23
35,9,2,203,laos-3,0.0451579545020927,1,0.8659324645996094,1073741824,34223813,2561448756,2163.8082467768563,164420.56270759096,0.013326749676349427,12500000,0.9244171687780515,1,1748226983,2025-05-26 09:36:23
36,9,2,204,laos-4,0.0378066595831473,1,0.8678436279296875,1073741824,35635358,2551999102,2086.1739122558834,173283.81589873537,0.0140295991848793,12500000,0.9196798866977142,2,1748226983,2025-05-26 09:36:23
37,10,2,202,laos-2,0.0472583244789342,1,0.8726463317871094,1073741824,35762303,2579472812,2607.7173903198545,216604.7698734192,0.017536998981099124,12500000,0.9374416552471427,4,1748226984,2025-05-26 09:36:24
38,10,2,203,laos-3,0.0451579545020927,1,0.8659324645996094,1073741824,34223813,2561448756,2163.8082467768563,164420.56270759096,0.013326749676349427,12500000,0.9244171687780515,1,1748226984,2025-05-26 09:36:24
39,10,2,204,laos-4,0.0378066595831473,1,0.8678436279296875,1073741824,35635358,2551999102,2086.1739122558834,173283.81589873537,0.0140295991848793,12500000,0.9196798866977142,2,1748226984,2025-05-26 09:36:24
40,10,2,201,laos-1,0.0430575845252511,1,0.8326301574707031,1073741824,35344409,2577510706,2380.7862586431647,197737.63596086073,0.01600947377756031,12500000,0.8916972157735146,3,1748226984,2025-05-26 09:36:24
41,11,2,201,laos-1,0.0430575845252511,1,0.8326301574707031,1073741824,35344409,2577510706,2380.7862586431647,197737.63596086073,0.01600947377756031,12500000,0.8916972157735146,3,1748226985,2025-05-26 09:36:25
42,11,2,202,laos-2,0.0472583244789342,1,0.8726463317871094,1073741824,35762303,2579472812,2607.7173903198545,216604.7698734192,0.017536998981099124,12500000,0.9374416552471427,4,1748226985,2025-05-26 09:36:25
43,11,2,203,laos-3,0.0451579545020927,1,0.8659324645996094,1073741824,34223813,2561448756,2163.8082467768563,164420.56270759096,0.013326749676349427,12500000,0.9244171687780515,1,1748226985,2025-05-26 09:36:25
44,11,2,204,laos-4,0.0378066595831473,1,0.8678436279296875,1073741824,35635358,2551999102,2086.1739122558834,173283.81589873537,0.0140295991848793,12500000,0.9196798866977142,2,1748226985,2025-05-26 09:36:25
45,12,2,201,laos-1,0.0430575845252511,1,0.8326301574707031,1073741824,35344409,2577510706,2380.7862586431647,197737.63596086073,0.01600947377756031,12500000,0.8916972157735146,3,1748226986,2025-05-26 09:36:26
46,12,2,202,laos-2,0.0472583244789342,1,0.8726463317871094,1073741824,35762303,2579472812,2607.7173903198545,216604.7698734192,0.017536998981099124,12500000,0.9374416552471427,4,1748226986,2025-05-26 09:36:26
47,12,2,203,laos-3,0.0451579545020927,1,0.8659324645996094,1073741824,34223813,2561448756,2163.8082467768563,164420.56270759096,0.013326749676349427,12500000,0.9244171687780515,1,1748226986,2025-05-26 09:36:26
48,12,2,204,laos-4,0.0378066595831473,1,0.8678436279296875,1073741824,35635358,2551999102,2086.1739122558834,173283.81589873537,0.0140295991848793,12500000,0.9196798866977142,2,1748226986,2025-05-26 09:36:26
49,13,2,201,laos-1,0.0430575845252511,1,0.8326301574707031,1073741824,35344409,2577510706,2380.7862586431647,197737.63596086073,0.01600947377756031,12500000,0.8916972157735146,3,1748226987,2025-05-26 09:36:27
50,13,2,202,laos-2,0.0472583244789342,1,0.8726463317871094,1073741824,35762303,2579472812,2607.7173903198545,216604.7698734192,0.017536998981099124,12500000,0.9374416552471427,4,1748226987,2025-05-26 09:36:27
